id,rank,discipline,yrs.since.phd,yrs.service,sex,salary
1,Prof,B,2,18,Female,142584
2,AsstProf,A,0,9,Female,132731
3,AsstProf,A,12,6,Male,202563
4,AssocProf,A,8,5,Female,99428
5,AssocProf,B,12,2,Male,67214
6,AsstProf,B,7,18,Female,145278
7,AsstProf,A,17,7,Male,57613
8,AsstProf,A,11,17,Female,238098
9,AssocProf,A,11,12,Female,171129
10,AssocProf,B,9,7,Male,235725
11,AsstProf,B,8,3,Male,177549
12,AsstProf,B,7,4,Male,114476
13,AssocProf,B,7,2,Female,51254
14,AsstProf,B,4,13,Male,94362
15,AssocProf,A,18,12,Male,209473
16,Prof,A,18,18,Female,153525
17,AssocProf,B,9,19,Male,60674
18,Prof,A,15,7,Female,92079
19,Prof,B,5,15,Female,198397
20,AssocProf,A,19,12,Male,164469
21,AsstProf,B,14,11,Female,88642
22,Prof,A,1,12,Female,188058
23,Prof,A,17,16,Female,84669
24,AsstProf,A,5,8,Female,80916
25,Prof,B,0,4,Male,153280
26,AsstProf,B,8,3,Male,60597
27,Prof,B,13,5,Male,105599
28,Prof,A,17,14,Female,148621
29,AssocProf,A,9,10,Female,171703
30,AsstProf,A,8,12,Female,197721
31,AssocProf,B,0,19,Female,203237
32,AsstProf,A,17,9,Male,73275
33,Prof,A,14,9,Male,60221
34,AsstProf,B,18,15,Male,67706
35,Prof,A,18,13,Female,215175
36,AssocProf,B,2,6,Female,134168
37,AsstProf,B,0,15,Female,196305
38,Prof,A,15,15,Female,162378
39,Prof,A,13,8,Female,227491
40,Prof,A,7,12,Male,104023
41,AssocProf,A,13,1,Female,213572
42,AsstProf,B,3,1,Male,135302
43,AssocProf,B,14,7,Male,67337
44,AssocProf,A,14,7,Male,120596
45,AssocProf,A,15,15,Male,71477
46,AsstProf,A,7,3,Female,174115
47,AssocProf,B,15,8,Female,232423
48,Prof,B,5,19,Male,139234
49,Prof,B,3,6,Male,235674
50,AsstProf,A,17,10,Female,218108
51,Prof,A,9,17,Male,235221
52,Prof,B,11,1,Female,194360
53,AsstProf,A,6,12,Female,138874
54,AssocProf,B,2,10,Male,101984
55,AssocProf,A,12,11,Male,152906
56,AsstProf,B,8,18,Female,65086
57,Prof,B,3,17,Female,68563
58,AssocProf,B,10,12,Female,185077
59,AssocProf,B,2,13,Male,148310
60,AsstProf,B,4,4,Female,207965
61,AssocProf,A,15,10,Female,99090
62,AsstProf,B,18,1,Female,227688
63,Prof,A,7,6,Female,117563
64,AsstProf,A,4,14,Male,83884
65,AssocProf,B,12,10,Male,133096
66,Prof,A,0,0,Male,115846
67,AssocProf,A,7,1,Female,128520
68,AsstProf,A,17,13,Male,230056
69,AssocProf,A,0,7,Male,208782
70,AsstProf,B,8,11,Male,192899
71,AsstProf,A,10,4,Male,75551
72,Prof,B,8,2,Male,82145
73,AssocProf,A,6,19,Female,80843
74,AsstProf,A,18,5,Female,204909
75,AssocProf,A,10,2,Male,150468
76,Prof,A,12,12,Male,95503
77,Prof,B,11,2,Male,155453
78,AsstProf,B,19,17,Male,181867
79,AssocProf,B,16,4,Male,237598
80,AssocProf,A,15,14,Female,82773
81,Prof,A,2,9,Male,77064
82,AsstProf,B,8,1,Male,183429
83,AssocProf,B,1,18,Female,55542
84,Prof,B,7,10,Male,64781
85,AsstProf,A,11,11,Female,98111
86,AsstProf,A,16,2,Male,84690
87,AsstProf,A,12,10,Male,179964
88,AssocProf,B,12,10,Male,158892
89,AsstProf,A,5,0,Female,131056
90,Prof,A,1,4,Female,125015
91,AssocProf,A,13,7,Female,125028
92,Prof,A,12,15,Male,125906
93,AssocProf,A,11,3,Female,177033
94,Prof,B,8,8,Female,65643
95,Prof,B,1,13,Female,145481
96,AsstProf,B,12,3,Female,121531
97,Prof,B,0,11,Female,215449
98,AssocProf,A,7,9,Female,204008
99,Prof,B,1,5,Male,91779
100,AsstProf,B,15,15,Female,127259
101,AssocProf,B,10,12,Female,191382
102,AsstProf,A,2,3,Female,66253
103,AssocProf,A,17,19,Male,222347
104,AssocProf,B,5,18,Female,170245
105,AsstProf,A,12,5,Male,134225
106,Prof,B,14,16,Female,72228
107,AsstProf,A,11,3,Female,237886
108,AsstProf,A,11,18,Male,57404
109,AsstProf,A,9,8,Male,99350
110,AsstProf,A,16,8,Female,74058
111,AssocProf,A,3,0,Male,57301
112,Prof,A,2,16,Male,228633
113,AsstProf,A,3,9,Male,119842
114,Prof,B,7,17,Female,202788
115,AssocProf,A,4,3,Female,115814
116,AssocProf,B,1,12,Female,194500
117,Prof,A,5,3,Female,160608
118,Prof,A,14,3,Female,110520
119,AssocProf,B,9,2,Female,196312
120,AsstProf,A,11,6,Female,142981
121,AsstProf,B,5,0,Female,71348
122,AssocProf,A,1,12,Female,53986
123,AssocProf,A,9,3,Female,139234
124,Prof,B,14,15,Female,90774
125,AsstProf,B,2,17,Male,119333
126,AsstProf,B,10,17,Female,50076
127,Prof,A,3,6,Male,57273
128,AssocProf,A,14,10,Female,78792
129,AsstProf,A,1,19,Male,231801
130,AsstProf,A,18,13,Female,210402
131,Prof,B,7,14,Male,199872
132,AsstProf,B,9,17,Male,209790
133,Prof,B,13,7,Female,78226
134,AssocProf,A,18,14,Male,74836
135,Prof,B,2,1,Male,63357
136,AssocProf,B,10,11,Female,214289
137,Prof,B,0,14,Male,214142
138,Prof,A,9,7,Female,97149
139,AsstProf,A,6,9,Female,82960
